Sample_Number,Plot_ID,Year,EcolState,Shrub_Encroach,Site,Treatment,Transect_Num,Shrub_Interspace,1:1 Soil pH,WDRF Buffer pH,1:1 S Salts mmho/cm,Organic Matter LOI %,Nitrate-N ppm N,lbs N/A,Olsen P ppm P,Potassium ppm K,Sulfate-S ppm S,Zinc ppm Zn,Iron ppm Fe,Manganese ppm Mn,Copper ppm Cu,Calcium ppm Ca,Magnesium ppm Mg,Sodium ppm Na,CEC/Sum of Cations me/100g,%H Sat,%K Sat,%Ca Sat,%Mg Sat,%Na Sat
178,15H_2_NUTS,2021,600,High,15,Herbicide,2,Shrub,7.8,7.2,0.2,0.9,14.5,9,9.5,307,4.9,0.73,7,8.6,0.56,1166,135,6,7.8,0,10,75,14,0
179,15H_3_NUTI,2021,600,High,15,Herbicide,3,Interspace,7.9,7.2,0.08,0.5,1.6,1,9.3,241,1.4,0.41,7,7.2,0.7,1059,136,6,7.1,0,9,75,16,0
180,15H_3_NUTS,2021,600,High,15,Herbicide,3,Shrub,7.9,7.2,0.14,0.7,9.7,6,11.3,262,4.3,0.73,8.4,8.8,0.58,1119,117,6,7.3,0,9,77,13,0
181,16C_1_NUTI,2021,100,Low,16,Control,1,Interspace,8.3,7.2,0.14,0.7,5.4,3,7.7,239,4.8,0.37,4.6,5.5,0.82,3638,102,9,19.7,0,3,92,4,0
182,16C_1_NUTS,2021,100,Low,16,Control,1,Shrub,8.2,7.2,0.17,1.4,7.2,4,9.8,457,6.3,0.66,5.2,9,0.76,3413,137,5,19.4,0,6,88,6,0
183,16C_2_NUTI,2021,100,Low,16,Control,2,Interspace,8.5,7.2,0.14,0.6,3.8,2,7.7,284,5.5,0.35,4.9,5.6,0.78,3355,126,6,18.6,0,4,90,6,0
184,16C_2_NUTS,2021,100,Low,16,Control,2,Shrub,8.3,7.2,0.15,0.8,6.4,4,10,393,7.8,0.52,4.8,6.1,0.55,2887,134,4,16.6,0,6,87,7,0
185,16C_3_NUTI,2021,100,Low,16,Control,3,Interspace,8.2,7.2,0.13,0.5,1.7,1,7.4,259,4.7,0.43,5.7,6.4,0.63,2339,106,6,13.3,0,5,88,7,0
186,16C_3_NUTS,2021,100,Low,16,Control,3,Shrub,8.2,7.2,0.17,0.7,8.6,5,9.4,334,6.5,0.7,4.7,5.8,0.56,2949,129,5,16.7,0,5,88,6,0
187,16H_1_NUTI,2021,100,Low,16,Herbicide,1,Interspace,8.3,7.2,0.19,0.9,1.6,1,8.8,332,5.7,0.43,4,6.9,1.1,3913,132,11,21.6,0,4,91,5,0
188,16H_1_NUTS,2021,100,Low,16,Herbicide,1,Shrub,8.2,7.2,0.18,0.8,10.2,6,8.8,441,7.3,0.72,4.9,7.8,0.62,3155,117,7,17.9,0,6,88,5,0
189,16H_2_NUTI,2021,100,Low,16,Herbicide,2,Interspace,8.4,7.2,0.12,0.5,2.5,2,7.2,244,5.7,0.35,5,5.7,0.53,2895,118,7,16.1,0,4,90,6,0
190,16H_2_NUTS,2021,100,Low,16,Herbicide,2,Shrub,8.2,7.2,0.15,0.6,14.4,9,9.3,295,9.8,0.56,4.4,6.6,0.51,2960,129,5,16.7,0,5,89,6,0
191,16H_3_NUTI,2021,100,Low,16,Herbicide,3,Interspace,8.4,7.2,0.11,0.6,5,3,7.9,191,5.1,0.44,4.2,5.1,0.73,3008,92,6,16.3,0,3,92,5,0
192,16H_3_NUTS,2021,100,Low,16,Herbicide,3,Shrub,8.2,7.2,0.19,0.7,9.4,6,9.6,435,8.5,0.58,4.1,8.4,0.67,3302,127,4,18.7,0,6,88,6,0
193,17C_1_NUTI,2021,600,High,17,Control,1,Interspace,8.5,7.2,0.12,0.5,10.5,6,7.4,259,6.8,0.37,4.3,3.4,0.6,3173,116,5,17.5,0,4,90,6,0
194,17C_1_NUTS,2021,600,High,17,Control,1,Shrub,8.3,7.2,0.14,0.4,9.7,6,8.5,184,4.1,0.39,5.2,4.5,0.41,2000,86,5,11.2,0,4,89,6,0
195,17C_2_NUTI,2021,600,High,17,Control,2,Interspace,8.4,7.2,0.13,0.8,3.5,2,6.3,320,4.3,0.16,3.3,3.4,0.51,3741,130,4,20.6,0,4,91,5,0
196,17C_2_NUTS,2021,600,High,17,Control,2,Shrub,8.4,7.2,0.11,0.5,6.3,4,7.7,267,5.2,0.47,5,4,0.47,2499,107,5,14.1,0,5,89,6,0
197,17C_3_NUTI,2021,600,High,17,Control,3,Interspace,8.4,7.2,0.1,1.5,1.6,1,7.4,213,4.7,0.34,4.9,5.3,0.59,3050,97,6,16.6,0,3,92,5,0
198,17C_3_NUTS,2021,600,High,17,Control,3,Shrub,8.3,7.2,0.12,0.5,7.5,5,8.2,264,5.2,0.45,5.4,4.7,0.59,2712,101,5,15.1,0,4,90,6,0
199,17H_1_NUTI,2021,600,High,17,Herbicide,1,Interspace,8.5,7.2,0.1,0.5,2.8,2,8.4,223,6.6,0.37,4.7,4,0.56,3299,97,10,17.9,0,3,92,5,0
200,17H_1_NUTS,2021,600,High,17,Herbicide,1,Shrub,8.2,7.2,0.2,0.5,28.2,17,12.2,266,8.6,0.46,5.3,3.6,0.36,2752,88,6,15.2,0,4,91,5,0
201,17H_2_NUTI,2021,600,High,17,Herbicide,2,Interspace,8.3,7.2,0.17,0.7,18.2,11,10.4,233,11.7,0.23,2.7,2.8,0.43,3657,105,6,19.8,0,3,92,4,0
202,17H_2_NUTS,2021,600,High,17,Herbicide,2,Shrub,8.3,7.2,0.2,0.7,20.9,13,8,238,8.8,0.4,4.4,3.7,0.44,3058,89,5,16.7,0,4,92,4,0
203,17H_3_NUTI,2021,600,High,17,Herbicide,3,Interspace,8.5,7.2,0.11,0.7,2,1,10.1,241,4.6,0.27,3.6,3.2,1.05,3800,122,5,20.7,0,3,92,5,0
204,17H_3_NUTS,2021,600,High,17,Herbicide,3,Shrub,8.2,7.2,0.2,0.8,24,14,8.9,250,8.6,0.64,5.6,4.8,0.42,2941,93,5,16.1,0,4,91,5,0
205,18C_1_NUTI,2021,900,High,18,Control,1,Interspace,8.5,7.2,0.12,0.6,2.9,2,6.9,191,3.8,0.18,4.8,3.7,0.45,3356,100,5,18.1,0,3,92,5,0
206,18C_1_NUTS,2021,900,High,18,Control,1,Shrub,8.3,7.2,0.12,0.7,3.2,2,7.8,258,5.1,0.46,5.9,4.7,0.42,1842,104,6,10.8,0,6,86,8,0
207,18C_2_NUTI,2021,900,High,18,Control,2,Interspace,8.3,7.2,0.1,0.5,0.4,0,7.2,233,2,0.19,4.8,3.5,0.49,1704,112,8,10.1,0,6,85,9,0
208,18C_2_NUTS,2021,900,High,18,Control,2,Shrub,8.3,7.2,0.1,0.6,2.3,1,8.6,256,2.8,0.36,5.1,4.8,0.44,1698,104,18,10.1,0,6,84,9,1
209,18C_3_NUTI,2021,900,High,18,Control,3,Interspace,8.5,7.2,0.1,0.6,0.8,0,7.4,227,4.6,0.3,5.6,3.9,0.59,2946,108,11,16.3,0,4,90,6,0
210,18C_3_NUTS,2021,900,High,18,Control,3,Shrub,8.2,7.2,0.15,0.6,4.6,3,7.9,233,5.3,0.41,4.9,4.4,0.46,2374,100,7,13.3,0,4,89,6,0
211,18H_1_NUTI,2021,900,High,18,Herbicide,1,Interspace,8.3,7.2,0.11,0.5,5.6,3,8.2,226,2.5,0.31,6.1,5.3,0.6,1417,121,10,8.7,0,7,81,12,0
212,18H_1_NUTS,2021,900,High,18,Herbicide,1,Shrub,8.3,7.2,0.11,0.6,7.6,5,9.3,221,3.8,0.39,5.8,5,0.46,1649,102,5,9.7,0,6,85,9,0
213,18H_2_NUTI,2021,900,High,18,Herbicide,2,Interspace,8.2,7.2,0.12,0.5,5.7,3,6.9,234,1.9,0.21,5.9,5.2,0.51,1309,113,7,8.1,0,7,81,12,0
214,18H_2_NUTS,2021,900,High,18,Herbicide,2,Shrub,8.2,7.2,0.13,0.8,7,4,8.5,306,4.7,0.44,5.2,6.3,0.41,1266,100,11,8,0,10,79,10,1
215,18H_3_NUTI,2021,900,High,18,Herbicide,3,Interspace,8.3,7.2,0.09,0.4,0.9,1,7.1,225,2.9,0.24,6,4.7,0.46,1415,108,7,8.6,0,7,82,11,0
216,18H_3_NUTS,2021,900,High,18,Herbicide,3,Shrub,8.2,7.2,0.1,0.6,3.2,2,8.2,232,3.7,0.4,6,5.8,0.51,1117,108,5,7.1,0,8,79,13,0
217,19C_1_NUTI,2021,600,High,19,Control,1,Interspace,8.4,7.2,0.09,0.4,1,1,8.3,445,3.8,0.43,5.3,6.3,0.62,1737,107,11,10.8,0,11,81,8,0
218,19C_1_NUTS,2021,600,High,19,Control,1,Shrub,8.4,7.2,0.12,0.5,4.1,2,7.7,287,5,0.38,5.1,4.9,0.48,2165,107,6,12.5,0,6,87,7,0
219,19C_2_NUTI,2021,600,High,19,Control,2,Interspace,8.4,7.2,0.09,0.5,0.6,0,7.1,227,5.1,0.28,4.9,3.8,0.58,2813,105,6,15.5,0,4,90,6,0
220,19C_2_NUTS,2021,600,High,19,Control,2,Shrub,8.4,7.2,0.1,0.5,1.8,1,9.3,299,5,0.5,5.5,5,0.47,2255,102,9,12.9,0,6,87,7,0
221,19C_3_NUTI,2021,600,High,19,Control,3,Interspace,8.5,7.2,0.07,0.4,6.5,4,8,188,3.2,0.41,5.5,3.1,0.49,2215,83,5,12.3,0,4,90,6,0
222,19C_3_NUTS,2021,600,High,19,Control,3,Shrub,8.3,7.2,0.14,0.7,17.7,11,8.8,301,5.9,0.51,4.8,4.8,0.39,2334,95,5,13.3,0,6,88,6,0
223,19H_1_NUTI,2021,600,High,19,Herbicide,1,Interspace,8.4,7.2,0.12,0.7,3.2,2,7.2,214,3.9,0.13,3.6,3.1,0.54,3714,119,5,20.1,0,3,92,5,0
224,19H_1_NUTS,2021,600,High,19,Herbicide,1,Shrub,8.3,7.2,0.11,0.5,7.4,4,8,235,5.7,1.48,5.9,4.9,0.45,2548,114,7,14.3,0,4,89,7,0
225,19H_2_NUTI,2021,600,High,19,Herbicide,2,Interspace,8.5,7.2,0.12,0.6,2.9,2,7.6,217,5.7,0.23,4.3,4.2,0.51,3316,106,7,18,0,3,92,5,0
226,19H_2_NUTS,2021,600,High,19,Herbicide,2,Shrub,8.2,7.2,0.15,0.5,5.3,3,8.2,265,4,0.31,4.6,4.4,0.41,2320,99,5,13.1,0,5,88,6,0
227,19H_3_NUTI,2021,600,High,19,Herbicide,3,Interspace,8.4,7.2,0.1,0.5,1.2,1,7.4,199,3.7,0.28,5.4,3.5,0.43,3071,102,6,16.7,0,3,92,5,0
228,19H_3_NUTS,2021,600,High,19,Herbicide,3,Shrub,8.3,7.2,0.12,0.5,5.2,3,7.3,218,5.3,0.39,6,4.3,0.35,2324,94,5,13,0,4,89,6,0
229,20C_1_NUTI,2021,900,High,20,Control,1,Interspace,8.1,7.2,0.05,0.5,0.7,0,8.9,243,2.2,0.43,7.4,5.8,0.65,1209,130,6,7.8,0,8,78,14,0
230,20C_1_NUTS,2021,900,High,20,Control,1,Shrub,8.2,7.2,0.13,0.5,5.4,3,7.7,260,5.5,1.22,9,6.4,0.47,1527,119,9,9.3,0,7,82,11,0
231,20C_2_NUTI,2021,900,High,20,Control,2,Interspace,8.3,7.2,0.06,0.4,2.6,2,7.3,202,1.6,0.29,5.9,4,0.5,1113,115,7,7.1,0,7,79,14,0
232,20C_2_NUTS,2021,900,High,20,Control,2,Shrub,8,7.2,0.1,0.8,6.1,4,8.2,226,3.2,0.42,6.1,5.6,0.5,996,97,6,6.4,0,9,78,13,0
233,20C_3_NUTI,2021,900,High,20,Control,3,Interspace,8.2,7.2,0.09,0.7,20.7,12,8.9,193,2.6,0.38,6.7,7.7,0.49,1007,98,6,6.4,0,8,79,13,0
234,20C_3_NUTS,2021,900,High,20,Control,3,Shrub,8.2,7.2,0.1,0.4,6.9,4,7.6,169,2.7,0.34,7.5,5.6,0.47,811,85,8,5.2,0,8,77,14,1
235,20H_1_NUTI,2021,900,High,20,Herbicide,1,Interspace,8.2,7.2,0.09,0.4,4.3,3,8,199,1.9,0.32,7.1,4.9,0.53,1168,108,7,7.3,0,7,80,12,0
236,20H_1_NUTS,2021,900,High,20,Herbicide,1,Shrub,8.1,7.2,0.08,0.4,6.8,4,8,210,2.3,0.38,6.9,4.8,0.43,969,93,7,6.2,0,9,78,12,0
237,20H_2_NUTI,2021,900,High,20,Herbicide,2,Interspace,8.1,7.2,0.17,0.6,1,1,8.8,222,3.1,0.5,7,4.9,0.67,1480,130,5,9.1,0,6,82,12,0
238,20H_2_NUTS,2021,900,High,20,Herbicide,2,Shrub,8.1,7.2,0.09,0.6,9.8,6,8.7,281,5.3,0.53,6.4,5.3,0.46,1236,112,6,7.9,0,9,79,12,0
239,20H_3_NUTI,2021,900,High,20,Herbicide,3,Interspace,8.1,7.2,0.17,0.5,7.1,4,6.5,196,1.7,0.23,7.5,2.8,0.52,982,127,5,6.5,0,8,76,16,0
240,20H_3_NUTS,2021,900,High,20,Herbicide,3,Shrub,8.3,7.2,0.24,0.6,13.8,8,8.3,305,5,0.59,7.9,5.1,0.55,1191,126,8,7.8,0,10,76,13,0
